case_id,maze_file,ok,finished,resource,steps,score_ratio,duration_sec,timeout,error
train_0287,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0287.json,True,True,200,56,3.5714285714285716,0.255465,False,
train_0288,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0288.json,True,True,280,168,1.6666666666666667,1.437769,False,
train_0289,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0289.json,True,True,250,70,3.5714285714285716,0.347619,False,
train_0290,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0290.json,True,True,230,232,0.9913793103448276,1.835347,False,
train_0291,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0291.json,True,True,260,124,2.096774193548387,0.6774,False,
train_0292,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0292.json,True,True,260,84,3.0952380952380953,0.395737,False,
train_0293,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0293.json,True,True,310,162,1.9135802469135803,0.875884,False,
train_0294,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0294.json,True,True,170,150,1.1333333333333333,1.323211,False,
train_0295,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0295.json,True,True,140,104,1.3461538461538463,0.429643,False,
train_0296,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0296.json,True,True,340,176,1.9318181818181819,0.933351,False,
train_0297,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0297.json,True,True,170,142,1.1971830985915493,0.930227,False,
train_0298,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0298.json,True,True,280,128,2.1875,0.656279,False,
train_0299,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0299.json,True,True,190,140,1.3571428571428572,1.204255,False,
train_0300,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0300.json,True,True,310,154,2.012987012987013,0.792103,False,
