case_id,step,row,col,tile,resource,delta,first_visit,decision,observedRatio,qEff,alpha,candidate_count,selected_row,selected_col,selected_tile,selected_score,selected_deltaR,selected_Iproxy,selected_tailGain,selected_pathLen,selected_margin,selected_projectedR,dominant_term,runner_up_row,runner_up_col,runner_up_tile,runner_up_score,score_gap
train_0016,0,0,1,S,0,0,True,best-target,0.02666666666666667,1.0,4.621037037037037,2,1,1, ,5.736266666666669,0,18.000000000000004,0.0,1,8.0,0,Iproxy,1,2, ,4.916266666666669,0.8200000000000003
train_0016,1,1,1, ,0,0,True,best-target,0.04,1.0,5.130734391534391,1,1,2, ,4.789948070175434,0,15.157894736842103,0.0,1,8.0,0,Iproxy,,,,,
train_0016,2,1,2, ,0,0,True,best-target,0.05333333333333334,1.0,5.545476402116402,2,1,3, ,3.884182303030302,0,13.090909090909092,0.0,1,8.0,0,Iproxy,2,3, ,3.064182303030302,0.8200000000000003
train_0016,3,1,3, ,0,0,True,best-target,0.06666666666666667,1.0,5.880331738977072,1,2,3, ,3.0347487857777757,0,11.52,0.0,1,8.0,0,Iproxy,,,,,
train_0016,4,2,3, ,0,0,True,best-target,0.08,1.0,6.148532057848325,2,3,3, ,2.2473577041269834,0,10.285714285714285,0.0,1,8.0,0,Iproxy,3,2, ,1.4273577041269832,0.8200000000000003
train_0016,5,3,3, ,0,0,True,best-target,0.09333333333333334,1.0,6.361411504864519,2,3,2, ,1.5224238659732787,0,9.29032258064516,0.0,1,8.0,0,Iproxy,4,3, ,1.5224238659732787,0.0
train_0016,6,3,2, ,0,0,True,best-target,0.10222222222222223,1.0,6.529738727701139,2,3,1, ,1.152691875034467,0,8.727272727272727,0.0,1,8.0,0,Iproxy,4,3, ,0.33269187503446673,0.8200000000000003
train_0016,7,3,1, ,0,0,True,best-target,0.1111111111111111,1.0,6.66186906023899,1,4,3, ,-0.8669085532558514,0,8.228571428571431,0.0,3,8.0,0,Iproxy,,,,,
train_0016,8,3,2, ,0,0,False,hold-target,0.1111111111111111,1.0,6.76757332626927,1,4,3, ,0.10530558982775062,0,8.228571428571431,0.0,2,8.0,0,Iproxy,,,,,
train_0016,9,3,3, ,0,0,False,hold-target,0.1111111111111111,1.0,6.852136739093494,1,4,3, ,1.0470769042946344,0,8.228571428571431,0.0,1,8.0,0,Iproxy,,,,,
train_0016,10,4,3, ,0,0,True,best-target,0.12444444444444444,1.0,6.915131613497017,2,5,3, ,0.3516482452697254,0,7.578947368421051,0.0,1,8.0,0,margin,5,2, ,-0.468351754730274,0.8199999999999994
train_0016,11,5,3, ,0,0,True,best-target,0.13777777777777778,1.0,6.9600329393764255,2,5,2, ,-0.26425219159581026,0,7.024390243902438,0.0,1,8.0,0,margin,6,3, ,-0.26425219159581026,0.0
train_0016,12,5,2, ,0,0,True,best-target,0.14666666666666667,1.0,6.991907832982622,2,5,1, ,-0.6248336097133915,0,6.697674418604652,0.0,1,8.0,0,margin,6,3, ,-1.444833609713391,0.8199999999999994
train_0016,13,5,1, ,0,0,True,best-target,0.15555555555555556,1.0,7.0131007344712035,1,6,3, ,-2.605327177392253,0,6.3999999999999995,0.0,3,8.0,0,margin,,,,,
train_0016,14,5,2, ,0,0,False,hold-target,0.15555555555555556,1.0,7.03005505566207,1,6,3, ,-1.7663383376584827,0,6.3999999999999995,0.0,2,8.0,0,margin,,,,,
train_0016,15,5,3, ,0,0,False,hold-target,0.15555555555555556,1.0,7.043618512614762,1,6,3, ,-0.9311472658714681,0,6.3999999999999995,0.0,1,8.0,0,margin,,,,,
train_0016,16,6,3, ,0,0,True,best-target,0.1688888888888889,1.0,7.047588143425143,2,7,3, ,-1.4200324494036032,0,5.999999999999997,0.0,1,8.0,0,margin,7,2, ,-2.2400324494036026,0.8199999999999994
train_0016,17,7,3, ,0,0,True,best-target,0.18222222222222223,1.0,7.043454162538856,2,7,2, ,-1.8594100040792503,0,5.64705882352941,0.0,1,8.0,0,margin,8,3, ,-1.8594100040792503,0.0
train_0016,18,7,2, ,0,0,True,best-target,0.19111111111111112,1.0,7.035070400738155,2,7,1, ,-2.130046260430132,0,5.433962264150944,0.0,1,8.0,0,margin,8,3, ,-2.950046260430131,0.8199999999999994
train_0016,19,7,1, ,0,0,True,best-target,0.2,1.0,7.023144039888769,1,8,3, ,-4.0242461889019285,0,5.236363636363636,0.0,3,8.0,0,margin,,,,,
