case_id,maze_file,step,rank,selected,real_r,real_c,local_r,local_c,tile,score,deltaR,Iproxy,tailGain,qEff,pathLen,margin,projectedR,unknownCompSum,dominant_term
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,0,1,True,1,1,1,0, ,-8.2576704,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,0,2,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,2,0.0,-30,12,deltaR
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,1,1,True,2,1,2,0, ,-8.206927972173913,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,1,2,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,1,0.0,-30,12,deltaR
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,2,1,True,3,1,3,0, ,-8.163506685431438,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,2,2,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,2,0.0,-30,12,deltaR
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,3,1,True,4,1,4,0, ,-8.126805348345151,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,3,2,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,3,0.0,-30,12,deltaR
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,4,1,True,5,1,5,0, ,-8.09610027867612,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,4,2,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,4,0.0,-30,12,deltaR
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,5,1,True,6,1,6,0, ,-8.070653022940895,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,5,2,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,5,0.0,-30,12,deltaR
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,6,1,True,7,1,7,0, ,-8.049763681510612,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,6,2,False,7,2,7,1, ,-8.869763681510612,0,0.72,0.0,1.0,2,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,6,3,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,6,0.0,-30,12,deltaR
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,7,1,True,7,2,7,1, ,-8.03279514033044,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,7,2,False,8,1,8,0, ,-8.03279514033044,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,7,3,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,7,0.0,-30,12,deltaR
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,8,1,True,7,3,7,2, ,-8.019181566809808,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,8,2,False,8,1,8,0, ,-8.839181566809808,0,0.72,0.0,1.0,2,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,8,3,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,8,0.0,-30,12,deltaR
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,9,1,True,7,4,7,3, ,-8.008428487490399,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,9,2,False,8,1,8,0, ,-9.6484284874904,0,0.72,0.0,1.0,3,8.0,0,12,margin
train_0194,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0194.json,9,3,False,1,2,1,1,T,-1e+18,-30,0.72,0.0,1.0,9,0.0,-30,12,deltaR
