case_id,maze_file,step,rank,selected,real_r,real_c,local_r,local_c,tile,score,deltaR,Iproxy,tailGain,qEff,pathLen,margin,projectedR,unknownCompSum,dominant_term
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,0,1,True,1,1,1,0, ,5.736266666666669,0,18.000000000000004,0.0,1.0,1,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,0,2,False,1,2,1,1, ,4.916266666666669,0,18.000000000000004,0.0,1.0,2,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,1,1,True,1,2,1,1, ,4.789948070175434,0,15.157894736842103,0.0,1.0,1,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,1,2,False,2,1,2,0, ,4.789948070175434,0,15.157894736842103,0.0,1.0,1,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,2,1,True,1,3,1,2, ,3.884182303030302,0,13.090909090909092,0.0,1.0,1,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,2,2,False,2,1,2,0, ,3.064182303030302,0,13.090909090909092,0.0,1.0,2,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,2,3,False,2,3,2,2, ,3.064182303030302,0,13.090909090909092,0.0,1.0,2,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,3,1,True,1,4,1,3, ,3.0347487857777757,0,11.52,0.0,1.0,1,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,3,2,False,2,3,2,2, ,3.0347487857777757,0,11.52,0.0,1.0,1,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,3,3,False,2,1,2,0, ,1.3947487857777752,0,11.52,0.0,1.0,3,8.0,0,12,Iproxy
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,4,1,True,1,5,1,4, ,-8.057918560711112,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,4,2,False,2,3,2,2, ,-8.87791856071111,0,0.72,0.0,1.0,2,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,4,3,False,2,1,2,0, ,-10.517918560711111,0,0.72,0.0,1.0,4,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,4,4,False,2,5,2,4,T,-1e+18,-30,0.72,0.0,1.0,2,0.0,-30,12,deltaR
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,5,1,True,1,6,1,5, ,-8.040107648568888,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,5,2,False,2,3,2,2, ,-9.680107648568889,0,0.72,0.0,1.0,3,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,5,3,False,2,1,2,0, ,-11.32010764856889,0,0.72,0.0,1.0,5,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,5,4,False,2,5,2,4,T,-1e+18,-30,0.72,0.0,1.0,1,0.0,-30,12,deltaR
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,6,1,True,1,7,1,6, ,-8.025327382013007,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,6,2,False,2,7,2,6, ,-8.845327382013005,0,0.72,0.0,1.0,2,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,6,3,False,2,3,2,2, ,-10.485327382013006,0,0.72,0.0,1.0,4,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,6,4,False,2,1,2,0, ,-12.125327382013005,0,0.72,0.0,1.0,6,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,6,5,False,2,5,2,4,T,-1e+18,-30,0.72,0.0,1.0,2,0.0,-30,12,deltaR
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,7,1,True,1,8,1,7, ,-8.013246100732356,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,7,2,False,2,7,2,6, ,-8.013246100732356,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,7,3,False,2,3,2,2, ,-11.293246100732356,0,0.72,0.0,1.0,5,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,7,4,False,2,1,2,0, ,-12.933246100732354,0,0.72,0.0,1.0,7,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,7,5,False,2,5,2,4,T,-1e+18,-30,0.72,0.0,1.0,3,0.0,-30,12,deltaR
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,8,1,True,1,9,1,8, ,-8.010979489281537,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,8,2,False,2,7,2,6, ,-8.830979489281537,0,0.72,0.0,1.0,2,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,8,3,False,2,3,2,2, ,-12.110979489281537,0,0.72,0.0,1.0,6,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,8,4,False,2,1,2,0, ,-13.750979489281537,0,0.72,0.0,1.0,8,8.0,0,12,pathLen
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,8,5,False,2,5,2,4,T,-1e+18,-30,0.72,0.0,1.0,4,0.0,-30,12,deltaR
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,8,6,False,2,9,2,8,T,-1e+18,-30,0.72,0.0,1.0,2,0.0,-30,12,deltaR
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,9,1,True,1,10,1,9, ,-8.008843019996657,0,0.72,0.0,1.0,1,8.0,0,12,margin
train_0115,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0115.json,9,2,False,2,7,2,6, ,-9.648843019996658,0,0.72,0.0,1.0,3,8.0,0,12,margin
