case_id,step,row,col,tile,resource,delta,first_visit,decision,observedRatio,qEff,alpha,candidate_count,selected_row,selected_col,selected_tile,selected_score,selected_deltaR,selected_Iproxy,selected_tailGain,selected_pathLen,selected_margin,selected_projectedR,dominant_term,runner_up_row,runner_up_col,runner_up_tile,runner_up_score,score_gap
train_0272,0,0,1,S,0,0,True,best-target,0.02666666666666667,1.0,4.621037037037037,2,1,1, ,5.736266666666669,0,18.000000000000004,0.0,1,8.0,0,Iproxy,1,2, ,4.916266666666669,0.8200000000000003
train_0272,1,1,1, ,0,0,True,best-target,0.04,1.0,5.130734391534391,2,1,2, ,4.789948070175434,0,15.157894736842103,0.0,1,8.0,0,Iproxy,2,1, ,4.789948070175434,0.0
train_0272,2,1,2, ,0,0,True,best-target,0.05333333333333334,1.0,5.545476402116402,2,1,3, ,3.884182303030302,0,13.090909090909092,0.0,1,8.0,0,Iproxy,2,1, ,3.064182303030302,0.8200000000000003
train_0272,3,1,3, ,0,0,True,best-target,0.06666666666666667,1.0,5.880331738977072,2,1,4, ,3.0347487857777757,0,11.52,0.0,1,8.0,0,Iproxy,2,1, ,1.3947487857777752,1.6400000000000006
train_0272,4,1,4, ,0,0,True,best-target,0.08,1.0,6.148532057848325,2,1,5, ,2.2473577041269834,0,10.285714285714285,0.0,1,8.0,0,Iproxy,2,1, ,-0.21264229587301564,2.459999999999999
train_0272,5,1,5, ,0,0,True,best-target,0.09333333333333334,1.0,6.361411504864519,2,1,6, ,1.5224238659732787,0,9.29032258064516,0.0,1,8.0,0,Iproxy,2,1, ,-1.7575761340267206,3.2799999999999994
train_0272,6,1,6, ,0,0,True,best-target,0.10666666666666667,1.0,6.528536611299023,2,1,7, ,0.8575954473373724,0,8.470588235294116,0.0,1,8.0,0,Iproxy,2,1, ,-3.2424045526626273,4.1
train_0272,7,1,7, ,0,0,True,best-target,0.12,1.0,6.657906212116141,2,1,8, ,0.2491479213690102,0,7.783783783783782,0.0,1,8.0,0,margin,2,1, ,-4.670852078630989,4.919999999999999
train_0272,8,1,8, ,0,0,True,best-target,0.13333333333333333,1.0,6.775213858581802,2,1,9,G,79.05869311634575,50,25.200000000000003,0.0,1,0.0,50,deltaR,2,1, ,21.46869311634575,57.59
train_0272,9,1,9,G,50,50,True,best-target,0.14666666666666667,4.99999950000005,6.861830346124701,2,1,10, ,24.04946257410222,0,23.44186046511628,0.0,1,0.0,50,Iproxy,2,1, ,-8.750534145898108,32.79999672000032
train_0272,10,1,10, ,50,0,True,best-target,0.16,4.545454132231443,6.923464276899761,2,1,11, ,22.82270801255104,0,21.91304347826087,0.0,1,0.0,50,Iproxy,2,1, ,-10.72274348331701,33.54545149586805
train_0272,11,1,11, ,50,0,True,best-target,0.17333333333333334,4.166666319444474,6.9647583496243834,2,1,12, ,21.656463676703318,0,20.571428571428577,0.0,1,0.0,50,Iproxy,2,1, ,-12.510200142741368,34.166663819444686
train_0272,12,1,12, ,50,0,True,best-target,0.18666666666666668,3.846153550295881,6.989485692045186,2,1,13, ,20.556640167156814,0,19.384615384615387,0.0,1,0.0,50,Iproxy,2,1, ,-14.135664856512026,34.69230502366884
