case_id,maze_file,step,rank,selected,real_r,real_c,local_r,local_c,tile,score,deltaR,Iproxy,tailGain,qEff,pathLen,margin,projectedR,unknownCompSum,dominant_term
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,0,1,True,1,1,1,0, ,5.736266666666669,0,18.000000000000004,0.0,1.0,1,8.0,0,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,1,1,True,2,1,2,0, ,4.789948070175434,0,15.157894736842103,0.0,1.0,1,8.0,0,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,2,1,True,3,1,3,0, ,3.884182303030302,0,13.090909090909092,0.0,1.0,1,8.0,0,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,2,2,False,3,2,3,1, ,3.064182303030302,0,13.090909090909092,0.0,1.0,2,8.0,0,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,3,1,True,3,2,3,1, ,3.0347487857777757,0,11.52,0.0,1.0,1,8.0,0,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,4,1,True,3,3,3,2,G,88.08375196444445,50,36.00000000000001,0.0,1.0,1,0.0,50,12,deltaR
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,4,2,False,2,3,2,2, ,87.26375196444444,50,36.00000000000001,0.0,1.0,2,0.0,50,12,deltaR
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,5,1,True,2,3,2,2, ,29.6244920989252,0,32.516129032258064,0.0,8.333331944444677,1,0.0,50,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,6,1,True,1,3,1,2, ,29.364359872790857,0,30.545454545454543,0.0,7.142856122449126,1,0.0,50,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,6,2,False,1,4,1,3, ,23.507217852382574,0,30.545454545454543,0.0,7.142856122449126,2,0.0,50,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,7,1,True,1,4,1,3, ,28.798962840838755,0,28.799999999999997,0.0,6.249999218750098,1,0.0,50,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,8,1,True,1,5,1,4, ,27.187987624459005,0,26.52631578947368,0.0,5.555554938271674,1,0.0,50,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,9,1,True,1,6,1,5,G,97.05486544516336,50,42.14634146341463,0.0,4.99999950000005,1,0.0,100,12,deltaR
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,10,1,True,1,7,1,6, ,40.6894913718828,0,39.272727272727266,0.0,9.090908264462886,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,11,1,True,1,8,1,7, ,38.537986710427546,0,36.765957446808514,0.0,8.333332638888947,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,12,1,True,1,9,1,8, ,36.51238965296998,0,34.56,0.0,7.692307100591762,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,12,2,False,2,9,2,8, ,30.204697830484736,0,34.56,0.0,7.692307100591762,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,13,1,True,1,10,1,9, ,34.61555960101915,0,32.60377358490567,0.0,7.142856632653098,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,13,2,False,2,9,2,8, ,34.61555960101915,0,32.60377358490567,0.0,7.142856632653098,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,14,1,True,1,11,1,10, ,32.84503371510013,0,30.857142857142854,0.0,6.666666222222252,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,14,2,False,2,9,2,8, ,27.37836741287788,0,30.857142857142854,0.0,6.666666222222252,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,15,1,True,2,9,2,8, ,20.94536178542719,0,29.288135593220343,0.0,6.249999609375024,3,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,16,1,True,2,9,2,8, ,26.638673248771198,0,29.288135593220343,0.0,5.882352595155729,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,17,1,True,2,9,2,8, ,31.702472746626913,0,29.288135593220343,0.0,5.555555246913597,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,18,1,True,3,9,3,8, ,30.119819203742175,0,27.870967741935484,0.0,5.263157617728546,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,18,2,False,3,10,3,9, ,25.804029957204765,0,27.870967741935484,0.0,5.263157617728546,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,19,1,True,3,10,3,9, ,28.64920387939015,0,26.58461538461539,0.0,4.999999750000012,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,19,2,False,4,9,4,8, ,28.64920387939015,0,26.58461538461539,0.0,4.999999750000012,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,20,1,True,3,11,3,10, ,27.762087077136698,0,25.7910447761194,0.0,4.761904535147403,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,20,2,False,4,9,4,8, ,23.85732535831583,0,25.7910447761194,0.0,4.761904535147403,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,21,1,True,3,12,3,11, ,26.91159018513633,0,25.043478260869566,0.0,4.545454338842984,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,21,2,False,4,9,4,8, ,19.45704506943384,0,25.043478260869566,0.0,4.545454338842984,3,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,22,1,True,3,13,3,12, ,25.671085641437013,0,24.0,0.0,4.347825897920613,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,22,2,False,2,13,2,12, ,22.10586840514211,0,24.0,0.0,4.347825897920613,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,22,3,False,4,9,4,8, ,14.975433932552306,0,24.0,0.0,4.347825897920613,4,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,23,1,True,2,13,2,12, ,24.513352267610735,0,23.04,0.0,4.166666493055563,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,23,2,False,4,9,4,8, ,10.846686170388491,0,23.04,0.0,4.166666493055563,5,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,24,1,True,1,13,1,12, ,23.79177725986731,0,22.441558441558442,0.0,3.9999998400000063,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,24,2,False,4,9,4,8, ,7.391777915867284,0,22.441558441558442,0.0,3.9999998400000063,6,0.0,100,12,pathLen
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,25,1,True,4,9,4,8, ,4.1803667175242865,0,21.87341772151899,0.0,3.8461536982248576,7,0.0,100,12,pathLen
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,26,1,True,4,9,4,8, ,7.9317660083802615,0,21.87341772151899,0.0,3.7037035665294975,6,0.0,100,12,pathLen
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,27,1,True,4,9,4,8, ,11.42848982410375,0,21.87341772151899,0.0,3.5714284438775556,5,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,28,1,True,4,9,4,8, ,14.694889117064468,0,21.87341772151899,0.0,3.448275743162905,4,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,29,1,True,4,9,4,8, ,17.752343516481776,0,21.87341772151899,0.0,3.3333332222222256,3,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,30,1,True,4,9,4,8, ,20.619708583966574,0,21.87341772151899,0.0,3.225806347554634,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,31,1,True,4,9,4,8, ,23.313681274680476,0,21.87341772151899,0.0,3.1249999023437534,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,32,1,True,5,9,5,8, ,22.381437584338588,0,21.073170731707314,0.0,3.0303029384756686,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,32,2,False,5,8,5,7, ,19.896589174788538,0,21.073170731707314,0.0,3.0303029384756686,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,33,1,True,5,8,5,7, ,21.492153610396215,0,20.32941176470588,0.0,2.9411763840830476,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,33,2,False,6,9,6,8, ,21.492153610396215,0,20.32941176470588,0.0,2.9411763840830476,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,34,1,True,5,7,5,6, ,20.64582156821133,0,19.636363636363633,0.0,2.857142775510207,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,34,2,False,6,9,6,8, ,18.30296449229296,0,19.636363636363633,0.0,2.857142775510207,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,35,1,True,5,6,5,5, ,19.841591967503284,0,18.989010989010993,0.0,2.7777777006172863,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,35,2,False,6,9,6,8, ,15.286036538490936,0,18.989010989010993,0.0,2.7777777006172863,3,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,36,1,True,5,5,5,4, ,13.678953285116187,0,13.787234042553191,0.0,2.702702629656686,1,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,36,2,False,6,5,6,4, ,11.462737128797706,0,13.787234042553191,0.0,2.702702629656686,2,0.0,100,12,Iproxy
train_0063,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0063.json,36,3,False,6,9,6,8, ,7.03030481616074,0,13.787234042553191,0.0,2.702702629656686,4,0.0,100,12,Iproxy
